candidate,hypothesis,reason,expected_benefit,risk,implementation_cost,decision
class-weighted loss,weighting rare categories should improve recall and macro F1.,EDA and per-class metrics show rare labels with zero or low recall.,better minority-class recall and macro F1.,lower overall accuracy if frequent categories are over-penalized.,low,implement
focal loss,focusing on hard examples may help ambiguous and minority cases.,survey highlights imbalance; retrieval examples reveal difficult near-duplicates.,improved hard-example learning.,extra hyperparameters and possible instability.,medium,maybe
max_length tuning,nearby max_length values may affect rare longer literals without much cost.,"tokenization analysis recommends 32, but p99 is close enough to test 48 or 64.",avoid accidental truncation and confirm robustness.,likely small gain; larger max_length increases memory.,low,maybe
learning-rate tuning,1e-5 or 3e-5 may improve convergence over 2e-5.,"training curves show overfitting after epoch 10, so optimization schedule matters.",better validation peak or smoother training.,more GPU time.,low,implement
freezing and unfreezing backbone,"freezing early may reduce overfitting, then unfreezing can adapt the PLM.",short dataset and short literals increase overfitting risk.,more stable training.,underfitting if frozen too long.,medium,maybe
layer-wise learning rate decay,lower layers need smaller updates than higher layers and classifier head.,pretrained biomedical representations should be preserved.,safer fine-tuning.,more complex optimizer groups.,medium,future_work
warmup scheduler,warmup plus decay may stabilize transformer fine-tuning.,course material on neural training and common PLM fine-tuning practice.,smoother early training and possibly better peak accuracy.,additional schedule hyperparameters.,low,implement
label smoothing,smoothing may help ambiguous short literals and reduce overconfidence.,same literal can map to different categories in the data.,better calibration and robustness.,may hurt strict accuracy if labels are mostly reliable.,low,maybe
dropout tuning,dropout 0.2 or 0.3 may reduce overfitting after best epoch.,train loss keeps falling while validation loss rises.,better generalization.,excessive dropout may underfit short signals.,low,implement
data augmentation only if safe,conservative augmentation may improve minority categories.,"imbalance remains a problem, but clinical text normalization is risky.",more examples for rare classes.,changing clinical meaning or creating wrong labels.,high,maybe
pseudo-labeling leaderboard data,high-confidence predictions may adapt to leaderboard distribution.,EDA noted possible train-leaderboard length and distribution shifts.,better leaderboard performance.,confirmation bias and leakage-like overfitting to public leaderboard.,high,future_work
ensembling best classical and RoBERTa models,TF-IDF and RoBERTa make different errors.,classical models have strong macro F1; RoBERTa has best accuracy.,improved accuracy and robustness.,calibration differences and more complex submission pipeline.,medium,implement
calibration and confidence analysis,"confidence patterns can guide thresholding, ensembling, and error analysis.",clinical deployment needs interpretability and uncertainty awareness.,"better diagnostic understanding, maybe better ensemble weights.",may not directly improve Kaggle score.,medium,implement
