survey method family,core idea,course connection,feasible in our assignment?,implementation decision,expected benefit,limitation
Rule-based ICD coding,Encode coding guidelines and keyword/rule patterns manually.,"Linguistic rules, regular expressions, symbolic NLP.",Partly,Use only as conceptual baseline/future error-analysis aid; not a main model.,Transparent and easy to explain for frequent literal patterns.,"Brittle, labor-intensive, poor coverage for noisy Spanish/Catalan literals."
Majority and frequency baselines,Predict the most frequent class or use simple lookup frequencies.,Baseline design and empirical evaluation from ML.,Yes,Implement majority baseline before stronger models.,Lower bound that shows whether later models really learn signal.,Ignores text and fails rare categories.
Traditional ML with BoW/TF-IDF,Represent text with sparse lexical features and train a classifier.,"Basic Text Processing, vectorization, supervised classification.",Yes,Implement TF-IDF word n-gram and character n-gram baselines.,"Strong, fast, interpretable baseline for short clinical literals.",Limited semantics; sensitive to preprocessing and ambiguity.
Nearest-neighbor / retrieval methods,Assign labels from similar known literals or descriptions.,"Vector spaces, similarity, information retrieval.","Yes, if scoped",Consider fuzzy matching or nearest-neighbor lookup after baselines.,Useful because many leaderboard literals overlap train after normalization.,Weak for truly unseen synonyms and ambiguous repeated literals.
CNN/RNN neural models,Learn dense representations from token sequences with neural encoders.,Neural Networks and sequence modeling.,Not priority,Do not implement separately; use PLM backbone instead.,Can learn local phrase patterns.,Extra engineering for limited gain on very short literals.
GNN / hierarchy-aware methods,"Use ICD hierarchy, code relationships, or graph structure.","Structured prediction, graph representations, knowledge-based NLP.",Future work,Do not implement in final scope unless time remains.,Could exploit parent-child inheritance and related codes.,Our target is only first-character category; full hierarchy modeling is overkill.
PLM / Transformer methods,Fine-tune a pretrained language model for clinical text classification.,"Transformers, pretrained language models, tokenization.",Yes,Use Spanish biomedical-clinical RoBERTa with pooling ablations.,Better representation of Spanish biomedical terms and abbreviations.,May overfit small/ambiguous data; needs careful validation and compute.
Class imbalance strategies,"Use class weights, sampling, or thresholding to handle rare labels.","Evaluation metrics, imbalanced classification.",Yes,"Test class weighting as an ablation, not the default assumption.",May improve rare-category behavior.,"May reduce strict accuracy, the competition metric."
Pooling and representation variants,"Compare CLS pooling, mean pooling, and possibly ensemble representations.",Representation learning and neural architecture choices.,Yes,Compare RoBERTa CLS vs mean pooling.,Small architecture changes may matter for short literals.,Requires controlled experiments to avoid overclaiming.
Ensembles and confidence/error analysis,Combine complementary systems and inspect prediction confidence/errors.,"Model comparison, generalization, interpretability.","Yes, simple version",Use simple ensembling only after individual models are validated.,Can combine lexical memorization and neural generalization.,More moving parts; must remain reproducible and explainable.
Label-description matching,Use official ICD descriptions as label text for matching or augmentation.,"Semantic similarity, retrieval, weak supervision.",Future work / optional,Keep as future work unless baselines prove stable.,Could help rare categories and unseen literals.,Official descriptions differ strongly from short clinical literals.
Full multi-label ICD prediction,Predict all ICD codes assigned to a clinical document.,Multi-label classification and hierarchical evaluation.,No,Explicitly out of scope; our target is one category prefix.,Closer to real hospital ICD coding.,The Kaggle assignment does not provide full-document multi-label targets.
